Complexity,Loss,Equation
1,0.00010022904424848631,"-1.3459566667091798e-5"
3,9.858633398758536e-5,"(-0.0003629799419497943 / x25)"
5,7.601402210694554e-5,"(0.26660067051274877 * (x1 + -0.07954359675079636))"
9,7.49305779546874e-5,"((x10 * (x1 + -0.07954359675079636)) * (x18 - 0.2654485538593428))"
13,7.476252410471243e-5,"(((x16 * (x1 + -0.07954359675079636)) / ((0.8821094091345122 / x10) + 0.7857169045213892)) * 0.8821094091345122)"
15,7.472576938907173e-5,"(((x10 * (x1 + (-0.07954359675079636 / 0.99695675141273))) / ((x17 / x14) + x29)) * x17)"
17,7.472316936106866e-5,"(((x16 * (x1 + -0.07954359675079636)) / (((x1 / 0.7857169045213892) + (0.8821094091345122 / x30)) + 0.7857169045213892)) * 0.9131207204141438)"
